endpoint,clasificacion,decision,concurrencia,peticiones,tiempo_total_s,p50_ms,p95_ms
/ping,trivial,async def,1,50,0.044,0.7,1.2
/ping,trivial,async def,20,50,2.055,1.8,2043.8
/consulta-archivo,IO-bound,def,1,50,0.065,1.2,1.4
/consulta-archivo,IO-bound,def,20,50,2.06,1.4,2054.2
/servicio-externo,IO-bound,def,1,50,15.176,303.6,304.1
/servicio-externo,IO-bound,def,20,50,2.943,305.5,2356.9
/calculo-pesado,CPU-bound,def,1,50,15.71,301.6,361.1
/calculo-pesado,CPU-bound,def,20,50,12.83,543.3,12654.7
